Skin_Type,Skin_Color,Skin_Problems,Skin_Sensitivity,Skin_Oil_Level,Acne,Skin_Dryness,Lifestyle,Age
Oily,2,7,5,7,5,3,3,19
Oily,4,5,6,10,8,2,0,23
Oily,1,7,5,7,8,1,0,24
Oily,2,6,5,8,5,0,1,55
Oily,2,4,3,9,5,0,0,43
Oily,0,5,5,8,9,1,3,44
Oily,3,7,4,10,7,1,2,48
Oily,4,6,4,9,10,3,3,36
Oily,3,5,3,9,10,2,2,22
Oily,2,4,4,10,9,0,2,44
Oily,0,5,6,8,7,2,3,57
Oily,0,5,5,9,10,1,1,31
Oily,2,7,4,7,6,3,3,38
Oily,3,5,6,8,9,3,0,42
Oily,2,7,3,8,8,3,3,39
Oily,1,5,3,7,10,3,1,42
Oily,4,4,4,10,5,3,1,57
Oily,1,6,6,7,10,0,1,40
Oily,0,7,4,8,6,0,1,27
Oily,1,4,5,10,10,1,0,56
Oily,4,7,5,9,8,3,0,35
Oily,1,6,4,9,8,2,1,57
Oily,2,6,4,9,7,0,1,54
Oily,4,4,6,10,7,3,3,27
Oily,2,5,5,9,6,0,3,36
Oily,2,4,5,10,7,1,0,54
Oily,2,4,6,7,7,1,2,16
Oily,4,4,3,10,10,1,0,46
Oily,1,4,5,9,5,3,0,29
Oily,3,6,6,10,6,1,2,42
Oily,4,6,4,10,8,3,3,19
Oily,2,5,5,7,10,0,2,30
Oily,4,7,4,8,7,3,3,33
Oily,2,6,3,8,10,3,0,21
Oily,4,8,3,9,7,0,0,34
Oily,0,8,3,8,8,1,0,18
Oily,3,4,6,10,5,2,1,15
Oily,0,4,6,7,5,1,3,31
Oily,4,7,3,10,9,0,3,37
Oily,0,7,6,7,10,0,2,38
Oily,0,8,4,8,7,0,1,17
Oily,1,5,4,8,9,3,2,15
Oily,2,5,5,9,5,0,0,22
Oily,2,7,6,10,6,1,2,52
Oily,0,8,4,8,5,3,0,35
Oily,2,6,5,10,10,1,0,45
Oily,0,4,5,7,9,2,3,60
Oily,1,6,3,9,10,1,3,20
Oily,1,6,5,10,5,1,3,52
Oily,0,4,5,9,8,3,3,32
Oily,0,7,5,8,5,3,0,25
Oily,3,4,3,8,10,3,2,27
Oily,2,5,4,7,5,2,1,33
Oily,2,8,5,8,10,1,3,25
Oily,0,8,6,9,8,2,3,57
Oily,3,7,4,10,9,1,2,27
Oily,2,8,5,9,7,3,1,26
Oily,0,6,5,10,10,0,0,40
Oily,0,6,6,9,6,1,3,26
Oily,0,7,4,8,7,0,2,20
Oily,0,4,4,9,10,0,2,21
Oily,0,8,4,8,7,0,2,37
Oily,0,7,3,8,7,2,3,55
Oily,1,4,6,10,6,2,0,22
Oily,0,5,3,9,5,3,2,43
Oily,1,6,6,10,9,0,0,60
Oily,1,7,5,10,7,0,3,35
Oily,1,6,3,8,9,0,0,42
Oily,4,6,4,7,9,1,0,27
Oily,4,8,5,7,10,0,0,39
Oily,3,8,3,8,6,1,0,59
Oily,2,4,6,9,8,0,1,38
Oily,0,5,3,9,5,0,3,48
Oily,0,7,4,7,10,1,3,36
Oily,4,6,6,8,10,3,2,21
Oily,2,6,6,10,7,2,3,17
Oily,3,5,5,9,7,0,3,28
Oily,4,8,6,8,6,0,1,42
Oily,1,8,5,7,8,1,0,26
Oily,2,4,3,7,6,1,2,31
Oily,4,8,4,7,6,0,0,43
Oily,0,7,4,10,6,1,3,54
Oily,0,4,6,9,5,0,0,58
Oily,1,8,3,8,9,0,2,27
Oily,4,5,5,7,10,2,1,33
Oily,1,8,4,9,10,1,3,18
Oily,4,7,5,7,9,1,0,53
Oily,0,7,3,8,5,1,0,35
Oily,4,6,3,10,7,1,2,16
Oily,1,8,3,9,9,1,2,32
Oily,3,7,4,8,9,3,2,21
Oily,1,4,5,7,5,2,2,44
Oily,3,8,4,7,6,3,2,50
Oily,3,8,3,7,6,2,2,37
Oily,2,8,4,10,7,2,0,56
Oily,3,8,4,10,5,2,0,26
Oily,2,5,4,8,5,3,1,30
Oily,1,5,6,10,6,3,0,39
Oily,0,8,6,7,10,2,1,27
Oily,2,8,3,8,10,0,1,33
Oily,0,7,6,7,6,2,1,39
Oily,1,4,5,8,7,0,3,36
Oily,1,6,5,7,10,0,3,48
Oily,3,8,6,7,8,3,1,31
Oily,2,6,5,9,9,3,3,56
Oily,1,7,6,8,10,2,0,20
Oily,3,4,6,9,9,2,2,55
Oily,4,8,3,7,7,1,1,52
Oily,3,5,4,9,6,3,3,55
Oily,4,8,6,10,7,1,0,59
Oily,2,6,4,7,10,2,2,24
Oily,4,8,5,8,9,0,3,23
Oily,2,6,6,10,10,0,3,27
Oily,4,6,4,10,7,3,3,37
Oily,2,8,6,9,7,2,0,53
Oily,4,5,6,7,10,3,3,36
Oily,3,4,6,7,5,1,2,44
Oily,4,5,4,9,5,1,0,37
Oily,0,4,4,9,8,2,3,36
Oily,0,4,6,9,5,3,1,58
Oily,4,8,5,8,6,3,1,50
Oily,4,6,3,7,7,1,2,40
Oily,0,4,3,9,5,1,1,25
Oily,3,5,5,10,8,2,1,36
Oily,3,7,4,7,5,0,3,42
Oily,4,4,5,7,10,0,1,42
Oily,1,8,6,8,5,3,3,30
Oily,1,4,3,10,6,1,2,28
Oily,0,4,6,7,6,3,1,20
Oily,1,6,6,8,8,2,3,23
Oily,4,4,4,8,7,0,1,21
Oily,2,7,3,9,9,3,3,32
Oily,4,4,3,8,10,0,3,57
Oily,4,5,6,9,9,0,2,59
Oily,2,5,3,9,10,3,1,34
Oily,3,6,3,8,9,2,3,35
Oily,2,6,3,9,9,0,3,58
Oily,4,7,5,10,5,2,0,33
Oily,3,5,5,8,10,2,0,38
Oily,3,6,4,7,7,2,0,20
Oily,4,7,4,7,5,0,2,38
Oily,0,4,5,10,10,1,2,19
Oily,0,7,4,9,8,3,1,45
Oily,1,6,6,7,7,2,0,34
Oily,3,6,5,8,5,1,2,27
Oily,1,7,3,10,5,3,0,19
Oily,2,4,5,8,9,2,3,20
Oily,3,7,3,7,10,3,2,27
Oily,0,8,6,10,5,2,0,53
Oily,1,6,3,9,7,1,2,24
Oily,0,5,4,10,7,2,0,36
Oily,0,6,5,10,10,2,1,32
Oily,1,5,5,7,7,3,2,51
Oily,3,8,5,9,6,0,3,28
Oily,2,6,5,9,6,2,0,57
Oily,2,6,6,9,6,1,3,39
Oily,2,8,4,10,6,0,3,54
Oily,1,8,6,8,8,2,3,22
Oily,2,5,5,8,8,1,2,48
Oily,0,5,6,8,10,2,3,27
Oily,3,4,3,8,7,1,1,57
Oily,1,7,6,9,10,2,3,59
Oily,2,4,3,9,6,3,3,49
Oily,4,8,5,7,10,3,0,15
Oily,4,4,5,9,5,3,2,58
Oily,4,5,3,10,8,3,2,18
Oily,0,8,6,10,6,3,1,18
Oily,2,4,5,8,5,3,3,27
Oily,1,7,5,7,9,1,2,54
Oily,1,7,6,7,8,1,0,53
Oily,0,5,5,7,7,3,1,53
Oily,4,5,3,7,5,1,2,36
Oily,3,5,5,7,9,0,0,56
Oily,2,8,5,9,10,0,1,28
Oily,0,5,4,8,5,1,0,44
Oily,3,5,3,7,9,0,0,56
Oily,3,5,6,8,9,1,2,45
Oily,3,4,6,9,10,1,0,23
Oily,4,7,4,9,6,0,0,19
Oily,0,8,3,7,10,1,0,24
Oily,3,5,3,9,7,3,1,27
Oily,4,6,4,7,10,0,0,33
Oily,3,7,6,8,5,2,3,41
Oily,1,4,4,7,7,2,3,38
Oily,4,7,5,10,9,3,2,21
Oily,1,8,6,10,9,2,0,30
Oily,4,5,4,9,10,2,3,35
Oily,1,8,4,8,9,1,3,30
Oily,1,8,5,8,10,1,1,37
Oily,4,4,6,9,5,2,3,31
Oily,2,6,6,9,5,2,3,20
Oily,3,5,3,7,5,1,3,50
Oily,2,5,4,8,10,0,1,15
Oily,0,6,4,8,10,1,3,47
Oily,0,7,5,10,10,1,2,36
Oily,4,4,4,8,9,2,0,59
Oily,4,7,4,8,10,0,3,43
Oily,0,8,5,9,6,3,3,42
Oily,0,8,6,10,6,2,2,36
Oily,2,8,3,8,10,3,1,33
Oily,1,6,5,9,6,3,3,60
Oily,4,5,6,9,5,1,2,57
Oily,3,7,5,10,5,3,2,21
Oily,0,6,4,9,10,0,0,43
Oily,0,7,4,7,5,0,2,25
Oily,0,7,5,10,9,3,2,55
Oily,0,8,3,7,8,0,1,18
Oily,3,6,5,8,5,1,0,51
Oily,2,5,5,9,8,3,1,33
Oily,3,6,3,9,9,0,2,45
Oily,0,5,4,8,6,0,2,18
Oily,0,6,4,7,10,2,1,29
Oily,3,6,6,8,7,3,3,23
Oily,0,8,3,10,10,1,1,57
Oily,4,6,4,8,6,0,3,50
Oily,1,7,5,10,9,2,3,55
Oily,3,8,4,10,10,0,1,47
Oily,1,6,4,9,6,1,3,33
Oily,3,5,6,10,8,0,0,24
Oily,2,4,4,7,7,2,2,34
Oily,0,6,4,8,7,3,3,58
Oily,1,7,6,10,5,3,1,48
Oily,2,5,3,7,6,3,1,31
Oily,0,4,6,9,10,2,0,48
Oily,4,8,3,8,5,3,1,60
Oily,4,8,6,7,9,1,3,23
Oily,4,5,3,7,8,0,1,42
Oily,0,6,3,9,8,0,3,54
Oily,2,6,4,7,5,3,3,34
Oily,3,7,4,10,6,3,1,37
Oily,4,5,6,10,8,2,1,36
Oily,3,6,3,9,7,0,0,42
Oily,3,8,6,8,10,2,3,16
Oily,3,6,5,8,5,3,1,42
Oily,1,7,6,9,8,1,1,38
Oily,0,4,4,7,6,1,3,38
Oily,4,5,3,8,6,2,3,59
Oily,1,8,6,7,5,3,2,41
Oily,0,8,4,10,6,1,3,51
Oily,1,8,6,10,5,0,3,49
Oily,0,8,3,8,10,1,1,48
Oily,3,4,6,8,5,2,0,32
Oily,0,6,5,9,5,2,0,60
Oily,0,7,5,9,10,3,0,18
Oily,1,5,3,9,10,3,1,59
Oily,1,7,6,9,10,0,0,34
Oily,2,5,5,7,5,0,0,26
Oily,4,8,4,9,6,2,0,24
Oily,4,8,3,7,10,2,0,45
Oily,1,7,4,10,9,1,1,19
Oily,4,7,3,8,8,1,3,55
Oily,0,6,5,7,5,0,1,60
Oily,0,7,6,10,8,0,3,33
Oily,3,4,6,9,10,0,0,17
Oily,0,5,5,7,9,2,1,56
Oily,3,6,3,9,6,0,2,33
Oily,1,4,4,10,10,3,1,36
Oily,3,8,5,10,9,1,2,30
Oily,1,6,5,10,8,0,3,20
Oily,3,8,4,7,9,1,3,53
Oily,0,4,3,9,8,1,1,36
Oily,1,5,3,8,5,3,0,29
Oily,2,8,5,9,6,3,0,54
Oily,3,4,5,7,8,0,2,60
Oily,0,6,3,7,6,0,2,31
Oily,1,7,3,10,10,3,2,25
Oily,4,4,4,7,7,2,1,32
Oily,3,6,6,8,7,2,1,24
Oily,2,8,6,8,7,1,3,44
Oily,3,8,6,7,6,3,3,20
Oily,1,7,5,10,7,2,1,58
Oily,0,4,3,8,9,0,2,50
Oily,1,8,5,7,9,3,1,16
Oily,2,8,4,8,5,3,2,39
Oily,4,4,3,10,10,2,0,21
Oily,0,6,4,8,9,2,2,24
Oily,4,5,5,7,7,2,1,29
Oily,0,7,5,9,6,0,1,55
Oily,3,4,3,9,9,2,2,17
Oily,2,7,5,10,8,1,2,27
Oily,4,4,4,10,6,2,3,56
Oily,4,7,3,10,6,3,0,32
Oily,4,8,6,7,6,2,0,24
Oily,1,7,4,7,10,1,3,23
Oily,0,4,6,10,5,3,2,57
Oily,3,8,5,8,6,0,1,19
Oily,0,4,3,8,7,2,3,48
Oily,4,4,5,7,6,0,1,31
Oily,2,6,4,10,7,0,1,52
Oily,0,5,3,9,10,3,1,50
Oily,1,8,4,9,6,1,3,39
Oily,2,7,6,10,10,1,3,44
Oily,2,5,6,9,8,0,0,49
Oily,0,4,3,8,7,0,1,46
Oily,4,6,3,8,9,3,2,53
Oily,2,4,6,7,9,1,3,48
Oily,0,8,3,7,7,3,3,29
Oily,3,5,5,7,9,2,0,60
Oily,2,7,4,10,9,2,3,21
Oily,2,4,4,7,8,1,0,19
Oily,1,5,4,7,5,0,2,60
Oily,3,4,3,10,8,2,3,59
Oily,1,5,4,9,10,2,1,19
Oily,0,6,4,10,10,1,3,35
Oily,1,8,5,10,9,3,1,34
Oily,0,8,5,9,7,1,1,38
Oily,2,4,3,8,8,0,2,15
Oily,4,5,5,7,8,3,2,53
Oily,3,4,6,8,9,1,3,56
Oily,2,6,6,8,7,0,2,19
Oily,2,4,4,9,7,2,2,57
Oily,2,6,3,10,9,1,1,45
Oily,3,5,4,7,10,1,0,41
Oily,3,6,6,9,9,3,3,23
Oily,1,6,4,7,6,2,3,35
Oily,1,6,4,8,5,1,3,16
Oily,4,7,3,8,10,3,0,46
Oily,2,8,6,10,10,1,1,41
Oily,1,6,5,10,9,3,0,53
Oily,4,6,4,10,6,3,0,15
Oily,2,4,6,8,10,3,3,55
Oily,2,8,3,9,5,3,2,26
Oily,3,6,3,10,5,3,2,17
Oily,1,4,6,8,5,1,2,29
Oily,3,6,6,9,10,2,2,29
Oily,0,5,4,8,6,2,3,35
Oily,0,5,6,10,8,2,0,17
Oily,3,7,4,8,7,3,3,54
Oily,1,6,5,8,9,0,2,58
Oily,3,7,4,7,7,0,2,57
Oily,4,7,6,7,5,3,1,17
Oily,2,6,6,9,8,1,3,29
Oily,0,5,3,10,5,0,0,20
Oily,0,8,5,8,7,3,0,54
Oily,1,7,6,8,9,2,2,21
Oily,0,7,5,10,10,3,1,57
Oily,2,7,4,7,8,1,1,51
Oily,2,8,3,10,6,3,2,22
Oily,4,4,4,10,5,0,1,41
Oily,1,7,4,8,8,0,0,19
Oily,0,8,4,7,5,3,0,19
Oily,3,8,6,8,8,2,3,22
Oily,4,8,3,9,10,3,1,20
Oily,0,7,6,10,8,0,2,25
Oily,4,6,3,9,8,2,1,33
Oily,4,7,4,8,8,0,1,49
Oily,1,7,5,10,8,0,0,60
Oily,0,8,6,10,5,0,0,57
Oily,1,6,6,8,10,2,2,39
Oily,1,7,5,10,6,3,3,50
Oily,3,8,5,9,7,2,1,55
Oily,0,4,5,9,5,2,2,16
Oily,2,7,3,8,7,3,1,37
Oily,2,4,6,10,5,3,1,29
Oily,3,6,3,10,5,0,2,26
Oily,1,5,6,8,8,1,1,21
Oily,0,5,6,7,6,0,2,33
Oily,0,8,6,9,6,3,3,30
Oily,3,4,6,10,10,0,2,58
Oily,0,4,4,8,5,3,0,31
Oily,4,4,6,10,5,1,2,36
Oily,3,4,5,9,5,0,1,48
Oily,0,8,4,10,7,0,2,17
Oily,1,8,6,10,5,3,1,16
Oily,4,6,6,8,7,0,0,33
Oily,1,6,5,9,8,1,0,27
Oily,3,6,6,8,8,1,1,28
Oily,3,8,5,9,7,2,3,15
Oily,0,4,6,9,8,3,0,15
Oily,4,7,3,9,5,0,3,46
Oily,1,4,5,9,6,1,0,34
Oily,3,6,6,7,5,2,2,37
Oily,2,8,6,8,10,0,3,49
Oily,4,6,5,10,5,2,1,52
Oily,3,8,3,10,6,1,1,41
Oily,3,6,6,10,6,2,1,52
Oily,3,7,3,8,9,0,1,46
Oily,4,5,3,8,7,3,3,34
Oily,1,4,3,7,10,3,2,35
Oily,1,5,4,7,5,3,1,39
Oily,1,5,5,8,6,0,3,44
Oily,0,7,5,10,9,2,0,52
Oily,4,4,4,8,6,1,3,45
Oily,3,7,6,7,6,0,0,24
Oily,1,4,5,8,8,2,1,33
Oily,1,7,4,8,9,1,3,29
Oily,1,4,6,9,9,2,2,18
Oily,4,6,4,7,8,2,2,34
Oily,1,5,5,10,10,0,2,20
Oily,0,7,4,10,8,0,1,38
Oily,4,7,3,9,5,0,1,20
Oily,1,7,5,9,6,2,1,17
Oily,0,6,4,8,8,1,3,54
Oily,3,4,3,10,9,2,1,44
Oily,3,7,5,7,10,2,1,48
Oily,4,6,5,9,6,0,1,33
Oily,3,5,6,10,8,1,1,32
Oily,4,4,3,10,5,1,1,42
Oily,1,7,6,8,9,2,1,45
Oily,4,4,4,9,10,0,2,45
Oily,2,4,5,10,10,2,0,28
Oily,4,4,3,10,7,1,2,19
Oily,0,7,4,7,7,0,3,59
Oily,0,8,3,9,7,3,2,43
Oily,2,6,3,8,9,2,0,54
Oily,1,8,3,7,8,1,3,33
Oily,4,5,6,8,10,3,1,30
Oily,2,6,4,7,9,0,1,40
Oily,4,4,4,9,6,2,2,40
Oily,0,5,4,7,6,3,3,29
Oily,1,6,5,10,6,3,3,20
Oily,1,6,5,9,10,2,2,20
Oily,1,8,4,8,9,3,0,29
Oily,1,6,3,9,6,2,1,19
Oily,3,6,4,7,9,1,3,44
Oily,4,8,6,9,10,3,2,54
Oily,0,6,6,7,8,2,1,59
Oily,3,6,4,10,7,2,0,54
Oily,4,7,3,8,9,1,2,24
Oily,3,7,3,8,5,0,1,26
Oily,0,4,5,7,6,2,2,29
Oily,3,4,6,8,10,2,2,55
Oily,1,5,6,9,5,2,0,46
Oily,0,8,6,9,6,1,1,51
Oily,3,8,4,8,6,0,2,23
Oily,3,4,6,7,8,0,3,38
Oily,3,8,3,9,5,2,0,28
Oily,1,8,6,9,7,1,1,47
Oily,2,7,4,10,10,0,1,56
Oily,1,4,6,7,7,2,2,17
Oily,3,4,5,7,6,3,3,46
Oily,4,7,4,9,8,2,3,45
Oily,3,8,5,9,8,3,3,46
Oily,0,7,6,7,7,1,1,20
Oily,4,5,4,10,6,2,3,51
Oily,1,5,6,9,7,0,0,28
Oily,2,5,4,9,8,3,1,55
